Start Timestep,End Timestep,Average Episodic Return
607600,607600,24.804895
608000,608000,31.639473
608400,608400,30.874687
608800,609200,24.003042
609600,609600,13.314785
610000,610000,17.956564
610400,610800,22.397228
611200,611200,18.751013
611600,611600,32.514496
612000,612000,39.37
612400,612800,27.137596
613200,613200,24.348917
613600,613600,22.271435
614000,614400,32.38913
614800,614800,20.657288
615200,615200,27.707048
615600,615600,21.283775
616000,616400,25.447645
616800,616800,25.294426
617200,617200,46.137306
617600,617600,14.095276
618000,618400,23.867634
618800,618800,11.669325
619200,619200,32.03224
619600,620000,36.407696
620400,620400,29.547174
620800,620800,27.611317
621200,621200,32.706467
621600,622000,22.99968
622400,622400,31.861828
622800,622800,51.817867
623200,623600,28.904667
624000,624000,22.00573
624400,624400,23.720354
624800,624800,35.55953
625200,625600,29.163225
626000,626000,22.69654
626400,626400,27.470104
626800,627200,24.12115
627600,627600,18.180733
628000,628000,20.24181
628400,628400,32.640636
628800,629200,25.092722
629600,629600,30.225098
630000,630000,33.151623
630400,630400,46.276875
630800,631200,25.519424
631600,631600,19.058283
632000,632000,18.689592
632400,632800,24.20275
633200,633200,19.450275
633600,633600,21.640966
634000,634000,25.761913
634400,634800,31.273026
635200,635200,32.460648
635600,635600,40.193817
636000,636400,30.89406
636800,636800,56.630013
637200,637200,16.45757
637600,637600,46.54488
638000,638400,27.759308
638800,638800,42.0372
639200,639200,50.17668
639600,640000,39.993595
640400,640400,28.081696
640800,640800,18.771606
641200,641200,42.929436
641600,642000,29.103504
642400,642400,32.082924
642800,642800,32.803215
643200,643200,47.287163
643600,644000,31.505733
644400,644400,50.328606
