Start Timestep,End Timestep,Average Episodic Return
342400,342400,19.68768
342800,342800,15.640982
343200,343200,16.30682
343600,344000,35.20067
344400,344400,21.09325
344800,344800,51.03612
345200,345600,28.134901
346000,346000,23.916346
346400,346400,23.592793
346800,346800,16.196892
347200,347600,27.559402
348000,348000,36.461193
348400,348400,37.829758
348800,348800,27.844696
349200,349600,27.686264
350000,350000,41.083805
350400,350400,21.606977
350800,351200,13.357616
351600,351600,51.602314
352000,352000,19.449387
352400,352400,16.200794
352800,353200,31.318123
353600,353600,27.957497
354000,354000,31.079025
354400,354800,44.455276
355200,355200,25.808517
355600,355600,28.48917
356000,356000,23.860397
356400,356800,28.373417
357200,357200,18.770065
357600,357600,28.295986
358000,358400,30.110916
358800,358800,28.815409
359200,359200,20.816925
359600,359600,23.052017
360000,360400,21.104393
360800,360800,18.061846
361200,361200,46.10591
361600,361600,15.356697
362000,362400,21.41674
362800,362800,46.46986
363200,363200,29.07473
363600,364000,38.075554
364400,364400,43.658653
364800,364800,20.644684
365200,365200,23.722412
365600,366000,24.9901
366400,366400,18.273039
366800,366800,19.212944
367200,367600,25.26231
368000,368000,28.182957
368400,368400,42.67672
368800,368800,26.129461
369200,369600,21.175869
370000,370000,21.84341
370400,370400,34.96904
370800,371200,28.729855
371600,371600,24.082037
372000,372000,32.24903
372400,372400,16.568718
372800,373200,29.469954
373600,373600,21.79365
374000,374000,19.159336
374400,374400,23.086048
374800,375200,21.512209
375600,375600,34.44947
376000,376000,13.838754
376400,376800,20.740715
377200,377200,23.197842
377600,377600,12.791132
378000,378000,32.097828
378400,378800,15.4358225
379200,379200,26.057796
379600,379600,9.080622
380000,380400,32.32539
380800,380800,21.729786
381200,381200,37.580387
381600,381600,20.856194
382000,382400,46.149166
382800,382800,17.830627
383200,383200,10.115871
383600,384000,34.279907
384400,384400,42.08284
384800,384800,30.980347
385200,385200,23.523659
385600,386000,31.922768
386400,386400,28.255638
386800,386800,25.670235
387200,387200,24.743513
387600,388000,31.318327
388400,388400,34.423546
388800,388800,20.985346
389200,389600,17.217728
390000,390000,34.371803
