## SLURM PROLOG ###############################################################
##    Job ID : 8517521
##  Job Name : runs_rocksample_15_15_transformer
##  Nodelist : gpu2103
##      CPUs : 
##  Mem/Node : 32768 MB
## Directory : /oscar/home/kguo32/pobax/scripts/launching
##   Job Started : Sat Feb 22 07:09:34 PM EST 2025
###############################################################################
obs (65,)
timesteps=149776 - 150416, avg episodic return=10.00
timesteps=151568 - 153488, avg episodic return=10.00
timesteps=151568 - 153360, avg episodic return=8.57
timesteps=151568 - 153360, avg episodic return=7.00
timesteps=151568 - 153360, avg episodic return=10.00
timesteps=151824 - 153232, avg episodic return=12.50
timesteps=153744 - 154768, avg episodic return=10.00
timesteps=153872 - 155024, avg episodic return=8.33
timesteps=154256 - 155280, avg episodic return=10.00
timesteps=153744 - 155152, avg episodic return=11.11
timesteps=153744 - 155536, avg episodic return=12.50
timesteps=155792 - 157584, avg episodic return=10.00
timesteps=155664 - 157584, avg episodic return=10.00
timesteps=156048 - 157456, avg episodic return=10.00
timesteps=155664 - 157456, avg episodic return=10.00
timesteps=155664 - 157072, avg episodic return=5.00
timesteps=157968 - 159504, avg episodic return=8.57
timesteps=157840 - 159376, avg episodic return=7.14
timesteps=157712 - 158736, avg episodic return=10.00
timesteps=158096 - 159376, avg episodic return=11.67
timesteps=159632 - 159632, avg episodic return=10.00
timesteps=159760 - 161552, avg episodic return=11.43
timesteps=159888 - 161680, avg episodic return=9.09
timesteps=160784 - 161552, avg episodic return=10.00
timesteps=160400 - 161296, avg episodic return=10.00
timesteps=159888 - 161424, avg episodic return=10.00
timesteps=161808 - 163344, avg episodic return=10.00
timesteps=162064 - 163600, avg episodic return=10.00
timesteps=162192 - 163472, avg episodic return=10.00
timesteps=161808 - 162576, avg episodic return=10.00
timesteps=161808 - 163216, avg episodic return=8.33
timesteps=163984 - 165648, avg episodic return=10.00
timesteps=163984 - 165776, avg episodic return=9.00
timesteps=163856 - 165776, avg episodic return=10.00
timesteps=163984 - 165136, avg episodic return=10.00
timesteps=163984 - 165648, avg episodic return=7.50
timesteps=166032 - 167824, avg episodic return=8.89
timesteps=165904 - 167568, avg episodic return=11.11
timesteps=166288 - 167568, avg episodic return=10.00
timesteps=167184 - 167568, avg episodic return=10.00
timesteps=166160 - 166160, avg episodic return=10.00
timesteps=167952 - 169360, avg episodic return=8.33
timesteps=167952 - 169744, avg episodic return=11.67
timesteps=167952 - 169872, avg episodic return=10.00
timesteps=167952 - 169872, avg episodic return=10.00
timesteps=168208 - 169232, avg episodic return=13.33
timesteps=170512 - 171920, avg episodic return=8.75
timesteps=170000 - 171920, avg episodic return=10.00
timesteps=170128 - 171536, avg episodic return=10.00
timesteps=170000 - 171664, avg episodic return=10.00
timesteps=170000 - 171280, avg episodic return=10.00
timesteps=172304 - 172944, avg episodic return=10.00
timesteps=172048 - 173968, avg episodic return=10.00
timesteps=172048 - 173712, avg episodic return=10.00
timesteps=172304 - 173072, avg episodic return=10.00
timesteps=172048 - 173712, avg episodic return=8.00
timesteps=174736 - 176016, avg episodic return=10.00
timesteps=174352 - 176016, avg episodic return=8.57
timesteps=174096 - 175888, avg episodic return=8.75
timesteps=174224 - 176016, avg episodic return=10.00
timesteps=174224 - 175632, avg episodic return=7.50
timesteps=176144 - 177680, avg episodic return=10.00
timesteps=176656 - 177936, avg episodic return=12.00
timesteps=177168 - 178064, avg episodic return=10.00
timesteps=176400 - 177552, avg episodic return=8.00
timesteps=176272 - 177168, avg episodic return=10.00
timesteps=178448 - 179984, avg episodic return=11.43
timesteps=178192 - 179856, avg episodic return=11.67
timesteps=178192 - 179984, avg episodic return=8.00
timesteps=178320 - 179984, avg episodic return=10.00
timesteps=178704 - 180112, avg episodic return=10.00
timesteps=180496 - 182160, avg episodic return=10.00
timesteps=180240 - 182160, avg episodic return=10.00
timesteps=180496 - 181776, avg episodic return=8.75
timesteps=180368 - 181904, avg episodic return=10.00
timesteps=180624 - 181648, avg episodic return=10.00
timesteps=182672 - 184080, avg episodic return=10.00
timesteps=182544 - 184208, avg episodic return=10.00
timesteps=182416 - 184080, avg episodic return=11.25
timesteps=182800 - 183568, avg episodic return=11.67
timesteps=182544 - 184208, avg episodic return=7.50
timesteps=184336 - 186000, avg episodic return=10.00
timesteps=184592 - 186256, avg episodic return=10.00
timesteps=184976 - 186256, avg episodic return=10.00
timesteps=184720 - 186000, avg episodic return=10.00
timesteps=184592 - 185872, avg episodic return=10.00
timesteps=186512 - 188176, avg episodic return=8.75
timesteps=186384 - 187792, avg episodic return=10.00
