timesteps=31236 - 31636, avg discounted return=1.56
timesteps=31300 - 31716, avg discounted return=3.36
timesteps=31284 - 31716, avg discounted return=2.91
timesteps=31268 - 31668, avg discounted return=3.48
timesteps=31300 - 31652, avg discounted return=1.83
timesteps=31796 - 32228, avg discounted return=2.55
timesteps=31892 - 32148, avg discounted return=3.45
timesteps=31780 - 32244, avg discounted return=2.85
timesteps=31892 - 32244, avg discounted return=1.49
timesteps=31764 - 32212, avg discounted return=3.52
timesteps=31796 - 32148, avg discounted return=2.43
timesteps=31796 - 32212, avg discounted return=2.80
timesteps=31748 - 32180, avg discounted return=3.52
timesteps=31748 - 32212, avg discounted return=3.43
timesteps=31796 - 32084, avg discounted return=1.10
timesteps=32292 - 32724, avg discounted return=2.08
timesteps=32340 - 32724, avg discounted return=3.48
timesteps=32500 - 32740, avg discounted return=2.53
timesteps=32276 - 32564, avg discounted return=0.61
timesteps=32356 - 32612, avg discounted return=3.53
timesteps=32260 - 32628, avg discounted return=1.06
timesteps=32260 - 32756, avg discounted return=3.43
timesteps=32308 - 32676, avg discounted return=3.49
timesteps=32340 - 32660, avg discounted return=3.37
timesteps=32308 - 32644, avg discounted return=1.06
timesteps=32836 - 33092, avg discounted return=2.57
timesteps=32772 - 33268, avg discounted return=3.47
timesteps=32804 - 33236, avg discounted return=2.63
timesteps=32820 - 33204, avg discounted return=1.27
timesteps=32948 - 33220, avg discounted return=3.53
timesteps=32772 - 33156, avg discounted return=2.28
timesteps=32836 - 33268, avg discounted return=3.44
timesteps=32804 - 33156, avg discounted return=3.55
timesteps=32868 - 33252, avg discounted return=3.36
timesteps=32772 - 33108, avg discounted return=0.80
timesteps=33284 - 33716, avg discounted return=1.30
timesteps=33300 - 33700, avg discounted return=3.49
timesteps=33332 - 33668, avg discounted return=2.64
timesteps=33348 - 33668, avg discounted return=1.80
timesteps=33284 - 33716, avg discounted return=3.54
timesteps=33428 - 33556, avg discounted return=1.37
timesteps=33316 - 33748, avg discounted return=2.47
timesteps=33316 - 33716, avg discounted return=3.56
timesteps=33300 - 33780, avg discounted return=3.33
timesteps=33300 - 33748, avg discounted return=1.27
timesteps=33860 - 34292, avg discounted return=1.26
timesteps=33828 - 34196, avg discounted return=3.54
timesteps=33796 - 34244, avg discounted return=2.39
timesteps=33940 - 34244, avg discounted return=1.13
timesteps=33812 - 34276, avg discounted return=3.52
timesteps=33812 - 34196, avg discounted return=1.77
timesteps=33796 - 34260, avg discounted return=2.54
timesteps=33876 - 34244, avg discounted return=3.54
timesteps=33796 - 34164, avg discounted return=3.27
timesteps=33844 - 34180, avg discounted return=0.49
timesteps=34308 - 34756, avg discounted return=2.88
timesteps=34308 - 34788, avg discounted return=3.53
timesteps=34308 - 34804, avg discounted return=3.03
timesteps=34324 - 34756, avg discounted return=1.19
timesteps=34420 - 34724, avg discounted return=3.56
timesteps=34404 - 34724, avg discounted return=1.31
timesteps=34324 - 34788, avg discounted return=3.46
timesteps=34452 - 34772, avg discounted return=3.53
timesteps=34388 - 34788, avg discounted return=3.49
timesteps=34340 - 34788, avg discounted return=1.93
timesteps=34852 - 35236, avg discounted return=0.87
